id,handle,text,is_retweet,original_author,time,lang,retweet_count,favorite_count
727319013383147520,realDonaldTrump,Wow! I am speechless! Thank you to my sidekick @LynnePatton who keeps me &amp; the @EricTrumpFdn in line! https://t.co/L7Y2pjIl6p via @youtube,True,EricTrump,2016-05-03T02:09:00,en,4335,10989
727253325524164608,realDonaldTrump,Donald Trump Jr. On The Record: Why Trump International Hotels And Residences Are Still Winning via @forbes https://t.co/ssSLqNAKhM,True,DonaldJTrumpJr,2016-05-02T21:47:59,en,2243,7278
725845855987617792,realDonaldTrump,Seems out of touch w/ reality to announce a VP nominee before securing 1237 delegates. https://t.co/Hqx8MRyAjR https://t.co/xXDa4qJ5tP,True,newtgingrich,2016-04-29T00:35:12,en,5476,11761
725845144637837312,realDonaldTrump,Carly Fiorina no lifeboat for a fast-sinking @tedcruz campaign https://t.co/nHhENzFBck via @bostonherald @realdonaldtrump @danscavino #Trump,True,AdrianaCohen16,2016-04-29T00:32:22,en,2205,5611
725445969496694785,realDonaldTrump,"An Honor to be in #Indiana w @realDonaldTrump @greta &amp; the legend, Bobby Knight! I like our secret weapon better!!! https://t.co/xYMKoC65PS",True,DonaldJTrumpJr,2016-04-27T22:06:11,en,4837,14767
725383459284353025,realDonaldTrump,GREATEST FOREIGN POLICY SPEECH SINCE WASHINGTON'S FAREWELL ADDRESS.,True,AnnCoulter,2016-04-27T17:57:48,en,5198,13679
724662038220423168,realDonaldTrump,DEAD HEAT: CLINTON VS TRUMP https://t.co/wqfQMEMQOj,True,DRUDGE_REPORT,2016-04-25T18:11:08,en,2511,5583
722540379799740416,realDonaldTrump,"A message from Donald J. Trump to NEW YORK!
  https://t.co/FMosFLn8yq",True,DonaldJTrumpJr,2016-04-19T21:40:25,en,3295,8456
717455981047914496,realDonaldTrump,Last chance #Wisconsin: Find your polling location for today's primary &amp; go vote! Visit https://t.co/LC20hcigoQ 🇺🇸🇺🇸 #Trump2016,True,DonaldJTrumpJr,2016-04-05T20:56:50,en,2394,7368
717401379443195911,realDonaldTrump,#Wisconsin: To find your voting location visit https://t.co/9VgGcAJDkK #MakeAmericaGreatAgain  #TrumpTrain 🚂💨💨🇺🇸🇺🇸🇺🇸 https://t.co/6VoCsshtXZ,True,EricTrump,2016-04-05T17:19:52,en,2928,7730
715215099082878977,realDonaldTrump,Nice piece and video today in the Wall Street Journal: Trump’s three eldest children jump into campaign https://t.co/35abdIURxE via @WSJ,True,DonaldJTrumpJr,2016-03-30T16:32:22,en,3598,9556
712294898972680192,realDonaldTrump,#Arizona: We made it easy to find your polling location for today's primary! Simply visit https://t.co/uJFqD4yTlF 🇺🇸 https://t.co/uoe2M4wXzS,True,EricTrump,2016-03-22T15:08:32,en,2933,7981
711007886558633986,realDonaldTrump,Utah Speaker of the House announces endorsement of @realDonaldTrump. Says @DonaldJTrumpJr played a big role,True,MarkHalperin,2016-03-19T01:54:24,en,3484,8960
710176870575292416,realDonaldTrump,"I can skate here ONLY b/c @realdonaldtrump fixed this rink after NYC gov’t spent $13M, but FAILED! Good for Trump! https://t.co/BjKs0RQCNy",True,JohnStossel,2016-03-16T18:52:15,en,6369,14582
709750033915256838,realDonaldTrump,Mathematically it is statistically impossible for Kasich to get to 1237 - he would need 112% of the remaining delegates to be the nominee!,True,EricTrump,2016-03-15T14:36:09,en,5509,13654
709731880413863936,realDonaldTrump,Friends in #FL #OH #NC #IL &amp; #MO we would be honored to have your #VOTE! #SuperTuesday #LetsDoThis #MakeAmericaGreatAgain #TrumpTrain 🚂💨💨💨🇺🇸,True,EricTrump,2016-03-15T13:24:01,en,3729,10681
709168272059535360,realDonaldTrump,"LIVE Stream: Donald Trump about to speak in Boca Raton, FL. Protesters already before Trump speaks. #TrumpTrain 

https://t.co/8UWX6icKtv",True,RSBNetwork,2016-03-14T00:04:26,en,1523,4730
708845423620984832,realDonaldTrump,Trump says the chaos in Chicago was a planned attack. But Hillary insists it was a spontaneous reaction to an internet video.,True,GovMikeHuckabee,2016-03-13T02:41:33,en,16814,29971
708320844917903361,realDonaldTrump,Prob w/ all pundits saying last fall @realDonaldTrump had no chance is that shows media so out of touch w/ Americans,True,greta,2016-03-11T15:57:04,en,4332,10980
708320551773851648,realDonaldTrump,Please read my full endorsement of @realDonaldTrump  for President of the United States: https://t.co/aSx9u3Ayz1.,True,RealBenCarson,2016-03-11T15:55:54,en,8890,18906
708319492485595138,realDonaldTrump,"I endorse @realDonaldTrump. It’s time to unite behind the candidate who will beat Hillary Clinton and return government to, ""We the People""",True,RealBenCarson,2016-03-11T15:51:41,en,21602,37704
708319477507686401,realDonaldTrump,"Many people fight for change in DC. @realDonaldTrump is a leader with an outsider’s perspective &amp; the vision, guts &amp; energy to get it done.",True,RealBenCarson,2016-03-11T15:51:38,en,11725,23477
708319022685802496,realDonaldTrump,The Scrum: Video Emerges to Suggest WaPo Reporter Ben Terris Misidentifies Lewandowski in Fields Incident  Breitbart https://t.co/wJ51Mkj27e,True,CLewandowski_,2016-03-11T15:49:49,en,2265,4224
707388018382995456,realDonaldTrump,LIVE Stream now: Donald Trump press conference #TrumpTrain #Trump2016 https://t.co/s7WgNXR27A,True,RSBNetwork,2016-03-09T02:10:20,en,1596,5424
707351991807315968,realDonaldTrump,Aloha Hawaii: We would be honored to have your vote! Find your caucus https://t.co/iNgQS80mxX #TrumpWaikiki #Mahalo https://t.co/ggTwDLbSG7,True,EricTrump,2016-03-08T23:47:11,en,2639,8753
706207445442543616,realDonaldTrump,"If you live in Louisiana, Maine, Kentucky or Kansas remember to vote today! Together let's #MakeAmericaGreatAgain🇺🇸 https://t.co/fVLftOVasa",True,DonaldJTrumpJr,2016-03-05T19:59:10,en,3215,9908
705903554377052162,realDonaldTrump,"Friends: Remember to VOTE tomorrow if you live in Louisiana, Maine, Kentucky or Kansas!  🇺🇸🇺🇸#MakeAmericaGreatAgain https://t.co/7aYYhbXkg8",True,EricTrump,2016-03-04T23:51:37,en,4861,12154
705396750178263041,realDonaldTrump,"As predicted, Trump reaching out to make peace with Republican ""establishment"".  If he becomes inevitable party would be mad not to unify.",True,rupertmurdoch,2016-03-03T14:17:45,en,3731,8608
704756047219654656,realDonaldTrump,Who has voted today??? Feedback from the polls? I'm like a kid on Christmas! #SuperTuesday #MakeAmericaGreatAgain https://t.co/NbXpOPhisk,True,EricTrump,2016-03-01T19:51:50,en,3058,11133
704746766097379328,realDonaldTrump,Gov Nikki Haley just became a liability for Rubio after this was published to social media! https://t.co/NBvl6bs223,True,CLewandowski_,2016-03-01T19:14:57,en,2799,5417
704746706458509313,realDonaldTrump,".@NikkiHaley in 2012 w/ Romney on tax returns🤔(political ploy.) Fast forward..2016 w/ Robot Rubio🤖
#FAIL👎#Politician https://t.co/Kxe5AKaTQD",True,DanScavino,2016-03-01T19:14:43,en,4894,7230
703588070776385536,realDonaldTrump,"Friends: If you live in AL, AK, AR, CO, GA, MA, MN, OK, TN, TX, VT or VA, get out and VOTE on Tuesday! #Trump2016 https://t.co/uXbink8oSb",True,EricTrump,2016-02-27T14:30:42,en,5753,12584
702310025235042304,realDonaldTrump,Very proud of what my father has accomplished in the past 7 months -Wishing him amazing luck and success tonight! #NVcaucus @realDonaldTrump,True,EricTrump,2016-02-24T01:52:12,en,2106,9193
702172874258264064,realDonaldTrump,"Nevada remember you can ""Vote and Go"" - walk in vote and walk out! 
Caucus locator: https://t.co/r8ijPnCsmO #TrumpLV https://t.co/CkWytt2ONs",True,EricTrump,2016-02-23T16:47:13,en,2532,6110
701967889457229828,realDonaldTrump,"Nevada: Here is a quick video @IvankaTrump created on ""How to Caucus"" - very quick and simple! https://t.co/W8ohs9gDvY  #Trump2016 #TrumpNV",True,DonaldJTrumpJr,2016-02-23T03:12:41,en,1622,4457
701929835132641282,realDonaldTrump,"Thank you Elko County, Nevada. So much amazing feedback from my forum today I really appreciate it #trump2016 #ICYMI https://t.co/oD3tv9GRJ5",True,DonaldJTrumpJr,2016-02-23T00:41:28,en,1373,4714
701556580916060160,realDonaldTrump,"Nevada we are on our way! #VoteTrumpNV #Trump2016
Caucus locator: https://t.co/r8ijPnCsmO https://t.co/kNhQcETaTV",True,EricTrump,2016-02-21T23:58:17,en,3062,9845
701480269975523328,realDonaldTrump,Just back from a dinner in West Hollywood: shocked the majority of the table was voting for Trump but they would never admit it publicly.,True,BretEastonEllis,2016-02-21T18:55:03,en,4371,7835
700471348779352064,realDonaldTrump,"""Pope Francis, tear down that wall!""
#vaticanwalls https://t.co/mDGANFtApb",True,JoeNBC,2016-02-19T00:05:58,en,5392,9912
700405081594703873,realDonaldTrump,"Pope on Trump: ""A person who thinks only about building walls...is not Christian."" This is Vatican City. https://t.co/ehmsLoljTl",True,benshapiro,2016-02-18T19:42:39,en,10426,15053
700404921913335808,realDonaldTrump,.@FoxNews - Pope who lives in a Vatican city fortified with huge walls thinks it's wrong to build walls? Really? https://t.co/DkxP2TMSiK,True,TomOdell,2016-02-18T19:42:00,en,4236,7712
698557746229211136,realDonaldTrump,Nevada: Reminder that today is the LAST day to register to vote in the February 23rd caucus!https://t.co/SDQGGhkyjI https://t.co/qYX7a2VpG9…,True,EricTrump,2016-02-13T17:21:59,en,1657,3839
696764189268963328,realDonaldTrump,"""Jeb is a weak guy."" @EricTrump
https://t.co/w8YuC5bApY",True,foxandfriends,2016-02-08T18:35:02,en,2048,5244
696764047010766848,realDonaldTrump,".@DonaldJTrumpJr: Trump has had a lot more responsibility to deal with than any of the other GOP candidates
https://t.co/9XLCf5ch4q",True,foxandfriends,2016-02-08T18:34:28,en,2236,5189
696106303438090240,realDonaldTrump,Debate ready!!! @realDonaldTrump #MakeAmericaGreatAgain #TrumpTrain https://t.co/qE6suiO315,True,EricTrump,2016-02-06T23:00:50,en,2719,9268
695747186991173633,realDonaldTrump,Watch: Donald Trump OWNS A Heckler Who Said Illegal Immigrants Are The Backbone Of America https://t.co/cRAOzIP0pH,True,seanhannity,2016-02-05T23:13:50,en,2716,5612
695009587271827456,realDonaldTrump,"CONSTRUCTIVE WINS! 💪 
@realDonaldTrump @CLewandowski_ @DanScavino @MichaelCohen212 @KatrinaPierson @DefendingtheUSA https://t.co/PZbezqDc0j",True,DarrenJJordan,2016-02-03T22:22:52,en,3862,7512
694604609906700288,realDonaldTrump,#VoteTrump2016 a real leader that truly cares about America &amp; our values. He wants to bring prosperity back 2 USA https://t.co/rdm1bJUatP,True,namusca,2016-02-02T19:33:38,en,1506,5218
694601825794801664,realDonaldTrump,Remarkable how cost-effective Post says Trump campaign was per vote and stunning how much Jeb spent per vote.  https://t.co/A28DyAHKuq,True,JoeNBC,2016-02-02T19:22:35,en,1766,3719
694594899614789632,realDonaldTrump,The #CruzCrew prevailed! Smart for @MarcoRubio to keep his speech short &amp; sweet. Ditto for @realDonaldTrump who was brief &amp; gracious.,True,IngrahamAngle,2016-02-02T18:55:03,en,992,3825
