id,handle,text,is_retweet,original_author,time,lang,retweet_count,favorite_count
778669685474811904,HillaryClinton,One of Hillary's first jobs out of law school was to find out why kids with disabilities weren't in school. https://t.co/vPMCYQmbls,True,HFA,2016-09-21T18:58:14,en,1075,2031
778669114063806464,HillaryClinton,"Not that long ago, if you had a disability, it defined your entire life. Basic, essential things that others could do, you couldn’t.",True,HFA,2016-09-21T18:55:58,en,501,1468
778668146966335488,HillaryClinton,"It's still legal to pay disabled workers less than the minimum wage and Clinton announces her plan to end that:
https://t.co/vEgIqMkmmg",True,feministabulous,2016-09-21T18:52:07,en,1517,2648
778292079231377408,HillaryClinton,NEW: @realdonaldtrump used more $250K+ from his charity to pay off legal settlements of his for-profit businesses.   https://t.co/Fa1RooYWMT,True,Fahrenthold,2016-09-20T17:57:46,en,10825,8957
778254419678859265,HillaryClinton,"Trump cannot be trusted with his own charity, but we are supposed to believe he can manage the nation’s treasury? https://t.co/DtX6C7Rftb",True,SenatorReid,2016-09-20T15:28:07,en,4292,5681
778251997019537408,HillaryClinton,"""Our identities do not have to be defined by putting someone else down but can be enhanced by lifting someone else up"" —@POTUS at #UNGA",True,WhiteHouse,2016-09-20T15:18:29,en,2448,4935
778063499956195329,HillaryClinton,"""No one has the right to immigrate to this country."" —Donald Trump during his rally in Florida today

We disagree. https://t.co/9gS9q5vQS9",True,HillaryforOH,2016-09-20T02:49:28,en,1911,3464
777952999100522496,HillaryClinton,"When @HillaryClinton says she’s going to make public colleges and universities tuition-free, you know what? That's a very big deal.",True,BernieSanders,2016-09-19T19:30:23,en,5661,15689
777914352884146176,HillaryClinton,Go to https://t.co/SvSvlg48vI and register to vote today. Register your friends. Register everyone you know.,True,HFA,2016-09-19T16:56:49,en,841,1446
777911385200230400,HillaryClinton,No one gets through life alone. We have to look out for each other and lift each other up. https://t.co/FEStrnjjOO,True,HFA,2016-09-19T16:45:01,en,801,1835
