id,handle,text,is_retweet,original_author,lang
742442391219646464,realDonaldTrump,Anyone who plans to talk about Trump ever again has to see this speech.  Your opinion is irrelevant unless you listened to him today.,True,AnnCoulter,en
740655290618642432,realDonaldTrump,Graph: @RealDonaldTrump's Historic 13 Million Primary Votes Compared To Every GOP Nominee Since 1908 https://t.co/vNpfaSZ8we,True,seanhannity,en
739857921140527104,realDonaldTrump,"My next project is pretty amazing…!
xx, Ivanka https://t.co/Ucq3dz20sQ https://t.co/f60biSURQ7",True,IvankaTrump,en
738901792210194432,realDonaldTrump,WATCH NOW: The @realDonaldTrump supporters you'd never expect https://t.co/jKeVJX5u73 https://t.co/pbft0Eq3Y1,True,CBSNews,en
738538744911822848,realDonaldTrump,"Beautiful article about @realDonaldTrump written by my friend, the incredibly talented golfer Natalie Gulbis:
https://t.co/Jgs3TJxQUM",True,IvankaTrump,en
734405641893249024,realDonaldTrump,BREAKING POLL: Trump Gains 11 Points on Clinton Since March=&gt; Now Leads Crooked Hillary 46-44 https://t.co/y3BGy15Erb via @gatewaypundit,True,gatewaypundit,en
730452843983998976,realDonaldTrump,'Duck Dynasty' star Phil Robertson says he'll back Trump for president https://t.co/WPJjMPYjlK via @MailOnline,True,dmartosko,en
730129098010447873,realDonaldTrump,"LOUISIANA GENERAL ELECTION
Donald Trump vs. Hillary Clinton
#MakeAmericaGreatAgain #Trump2016 https://t.co/74vYOx7dKz",True,DanScavino,en
730127671150129152,realDonaldTrump,"OHIO GENERAL ELECTION
Donald Trump vs. Hillary Clinton
#MakeAmericaGreatAgain #Trump2016 https://t.co/0yXQ4SFSLO",True,DanScavino,en
729771731003551744,realDonaldTrump,interesting poll results so far (and go vote on https://t.co/0Zv2YvEdRX) https://t.co/BnsRf9GSxC,True,greta,en
727319013383147520,realDonaldTrump,Wow! I am speechless! Thank you to my sidekick @LynnePatton who keeps me &amp; the @EricTrumpFdn in line! https://t.co/L7Y2pjIl6p via @youtube,True,EricTrump,en
727253325524164608,realDonaldTrump,Donald Trump Jr. On The Record: Why Trump International Hotels And Residences Are Still Winning via @forbes https://t.co/ssSLqNAKhM,True,DonaldJTrumpJr,en
725845855987617792,realDonaldTrump,Seems out of touch w/ reality to announce a VP nominee before securing 1237 delegates. https://t.co/Hqx8MRyAjR https://t.co/xXDa4qJ5tP,True,newtgingrich,en
725845144637837312,realDonaldTrump,Carly Fiorina no lifeboat for a fast-sinking @tedcruz campaign https://t.co/nHhENzFBck via @bostonherald @realdonaldtrump @danscavino #Trump,True,AdrianaCohen16,en
725445969496694785,realDonaldTrump,"An Honor to be in #Indiana w @realDonaldTrump @greta &amp; the legend, Bobby Knight! I like our secret weapon better!!! https://t.co/xYMKoC65PS",True,DonaldJTrumpJr,en
725383459284353025,realDonaldTrump,GREATEST FOREIGN POLICY SPEECH SINCE WASHINGTON'S FAREWELL ADDRESS.,True,AnnCoulter,en
724662038220423168,realDonaldTrump,DEAD HEAT: CLINTON VS TRUMP https://t.co/wqfQMEMQOj,True,DRUDGE_REPORT,en
722540379799740416,realDonaldTrump,"A message from Donald J. Trump to NEW YORK!
  https://t.co/FMosFLn8yq",True,DonaldJTrumpJr,en
717455981047914496,realDonaldTrump,Last chance #Wisconsin: Find your polling location for today's primary &amp; go vote! Visit https://t.co/LC20hcigoQ 🇺🇸🇺🇸 #Trump2016,True,DonaldJTrumpJr,en
717401379443195911,realDonaldTrump,#Wisconsin: To find your voting location visit https://t.co/9VgGcAJDkK #MakeAmericaGreatAgain  #TrumpTrain 🚂💨💨🇺🇸🇺🇸🇺🇸 https://t.co/6VoCsshtXZ,True,EricTrump,en
715215099082878977,realDonaldTrump,Nice piece and video today in the Wall Street Journal: Trump’s three eldest children jump into campaign https://t.co/35abdIURxE via @WSJ,True,DonaldJTrumpJr,en
712294898972680192,realDonaldTrump,#Arizona: We made it easy to find your polling location for today's primary! Simply visit https://t.co/uJFqD4yTlF 🇺🇸 https://t.co/uoe2M4wXzS,True,EricTrump,en
711007886558633986,realDonaldTrump,Utah Speaker of the House announces endorsement of @realDonaldTrump. Says @DonaldJTrumpJr played a big role,True,MarkHalperin,en
710176870575292416,realDonaldTrump,"I can skate here ONLY b/c @realdonaldtrump fixed this rink after NYC gov’t spent $13M, but FAILED! Good for Trump! https://t.co/BjKs0RQCNy",True,JohnStossel,en
709750033915256838,realDonaldTrump,Mathematically it is statistically impossible for Kasich to get to 1237 - he would need 112% of the remaining delegates to be the nominee!,True,EricTrump,en
709731880413863936,realDonaldTrump,Friends in #FL #OH #NC #IL &amp; #MO we would be honored to have your #VOTE! #SuperTuesday #LetsDoThis #MakeAmericaGreatAgain #TrumpTrain 🚂💨💨💨🇺🇸,True,EricTrump,en
709168272059535360,realDonaldTrump,"LIVE Stream: Donald Trump about to speak in Boca Raton, FL. Protesters already before Trump speaks. #TrumpTrain 

https://t.co/8UWX6icKtv",True,RSBNetwork,en
708845423620984832,realDonaldTrump,Trump says the chaos in Chicago was a planned attack. But Hillary insists it was a spontaneous reaction to an internet video.,True,GovMikeHuckabee,en
708320844917903361,realDonaldTrump,Prob w/ all pundits saying last fall @realDonaldTrump had no chance is that shows media so out of touch w/ Americans,True,greta,en
708320551773851648,realDonaldTrump,Please read my full endorsement of @realDonaldTrump  for President of the United States: https://t.co/aSx9u3Ayz1.,True,RealBenCarson,en
708319492485595138,realDonaldTrump,"I endorse @realDonaldTrump. It’s time to unite behind the candidate who will beat Hillary Clinton and return government to, ""We the People""",True,RealBenCarson,en
708319477507686401,realDonaldTrump,"Many people fight for change in DC. @realDonaldTrump is a leader with an outsider’s perspective &amp; the vision, guts &amp; energy to get it done.",True,RealBenCarson,en
708319022685802496,realDonaldTrump,The Scrum: Video Emerges to Suggest WaPo Reporter Ben Terris Misidentifies Lewandowski in Fields Incident  Breitbart https://t.co/wJ51Mkj27e,True,CLewandowski_,en
707388018382995456,realDonaldTrump,LIVE Stream now: Donald Trump press conference #TrumpTrain #Trump2016 https://t.co/s7WgNXR27A,True,RSBNetwork,en
707351991807315968,realDonaldTrump,Aloha Hawaii: We would be honored to have your vote! Find your caucus https://t.co/iNgQS80mxX #TrumpWaikiki #Mahalo https://t.co/ggTwDLbSG7,True,EricTrump,en
